id,"IFNULL(message, description)",aspecto,polaridade
4887,"Nossa amada Cidade Histórica completa 279 anos! Parabéns Rio Grande!",educacao,0
4888,"Entre os meses de abril e maio de 1941, o Estado do Rio Grande do Sul sofreu as consequências do fenômeno ""El Ninõ"". Foram registrados grandes volumes de chuva que ocasionaram cheias dos rios, Lago Guaíba, e inclusive a Lagoa dos Patos. 
Indicamos a leitura do texto do Professor Luis Henrique Torres sobre este fenômeno.
http://www.seer.furg.br/hist/article/view/3270
-------------------------
Fotos: Papareia
Divulgação: Rio Grande - Cidade Histórica.",meioAmbiente,0
4910,"Comemorações do Cinquentenário do Colégio Marista São Francisco em 1954. Na imagem vemos a banca marcial do colégio.
------------------------------------------------------------------
Fonte: Acervo Colégio Marista São Francisco
Divulgação: Rio Grande - Cidade Histórica",educacao,1
5036,"Monumento em homenagem à Camponesa, localizado na praça Atena (24 de maio com Valporto)",educacao,0
5303,"Registrado mais dois assaltos a ônibus nas últimas horas em Rio Grande.

Assalto a coletivo no Bgv;
Na noite desta Quinta feira ,por volta das 20:05 hs um coletivo da noiva do mar de prefixo 737  transitava na rua 13 no BGV  ,um meliante armado com um facão subiu no coletivo em uma parada e anunciou o assalto.Roubou todo o dinheiro do caixa e fugiu.

Assalto a coletivo na rua Honório Bicalho;
Na noite desta Quinta Feira ,por volta das 21:45 hs um coletivo da noiva do mar de prefixo 717 transitava na Honório Bicalho quando foi assaltado por um homem armado com uma faca que roubou o dinheiro do caixa e a carteira do cobrador .

Reportagem : Dener Santos",seguranca,-1
5316,"Mais um ônibus assaltado em Rio Grande:

Na noite desta Terça Feira por volta das 18:50 hs na Br-392 próximo a Santa Rosa  um coletivo da empresa noiva do mar de prefixo 1138 linha da Quinta foi assaltado por dois  meliantes armados  invadiram o coletivo,anunciaram o assalto ,roubaram todo o dinheiro do caixa da coradora e fugiram no mesmo ponto .O coletivo possui câmera de monitoramento.A policia investiga o caso.

Reportagem : Dener Santos",seguranca,-1
5317,"Homem preso armado no Bgv:

Na madrugada desta Quarta Feira por volta das 00:40 hs no bairro Bgv ,uma viatura da Brigada Militar em abordagem de rotina e em revista pessoal a um meliante foi encontrado um revólver calibre 22 municiado e dois celulares.Foi detido e encaminhado a Dppa. Foi estipulado fiança de R$900,00 que ainda não foi paga ,e o mesmo continua detido.

Reportagem : Dener Santos",seguranca,-1
5318,"Bom dia!
O Senado abriu consulta pública sobre a Reforma Trabalhista. Vamos aproveitar para votar ""NÃO"", que já é maioria. O povo NÃO vai concordar com o fim dos seus direitos!https://m.facebook.com/story.php?story_fbid=306782039747336&id=100012466273061",governanca,-1
5343,"Dia 05/07, haverá algumas mudanças no trânsito, é bom ficar atento.",mobilidade,0
5344,"Operação Mar em Fúria:

Apreendidos mais 6 toneladas de pesca ilegal pela Policia Federal em Rio Grande.

Nesta Sexta Feira, a policia Federal em Rio Grande Apreendeu mais 6 tonelada de pesca ilegal a poucas milhas da costa de Rio Grande .O mestre do barco foi preso ,pagou fiança de R$ 15 mil reais e responderá processo em liberdade .A embarcação foi multada pelo Ibama em R$ 324 Mil reais .Os peixes apreendidos na maioria anchovas foi destinada ao programa mesa Brasil do Sesc que distribuirá em mais de 101 instituições na nossa região.Está semana em Rio Grande com está apreensão já chega a 22 toneladas .As fiscalizações continuam .

Reportagem : Claudio Noronha
Fotos:Policia Federal",meioAmbiente,1
5437,"Não deixa de conferir a reportagem sobre o Bairro Getúlio Vargas que preparamos pra ti!

Nessa matéria, falamos sobre os principais problemas enfrentados pelos moradores do BGV, além de mostrar um projeto que ensina jiu-jitsu para crianças e adolescentes em situação de vulnerabilidade social.",educacao,0
5440,"MAIOR APREENSÃO DE DROGAS EM RG:

A Polícia Civil realizou neste sábado a maior apreensão de drogas do ano em Rio Grande.
Exatos 280 quilos de maconha foram encontrados durante uma operação da 2ª e da 3ª Delegacia. De acordo com a delegada Ligia Furlanetto, a droga estava em um veículo que trafegava pela BR-471. 
Ao perceber a ação dos policiais, o motorista iniciou a fuga por uma estrada de chão, na localidade da Palma. Ele abandonou o carro e não foi encontrado.
Investigação aponta que a maconha seria levada para o Uruguai.",seguranca,0
5467,"Motoboy assaltado no BGV na noite desta Quarta.

Um motoboy foi abordado e assaltado por três homens armados com facas quando entregava lanche na rua 10 no Bgv na noite desta Quarta Feira por volta das 23:50 hs .Roubaram documentos ,cartões de bancos , lanches e a quantia de R$ 200,00 em dinheiro .A policia investiga o caso.

Reportagem : Dener Santos",seguranca,-1
